zpid,price,priceLabel,address,beds,baths,hdpData.homeInfo.livingArea,latLong.latitude,latLong.longitude,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,country,,
223325018,285000,,Nhn Eastern Psge,4,3,560,24.560984,-132.2394,99929,Wrangell,AK,3.4,Acres,USA,,
227395822,"$650,000",$650K,"6525 N Douglas Hwy, Juneau, AK 99801",4,2,2399,25.697077,-134.49199,99801,Juneau,AK,0.64,acres,USA,,
230756778,620000,,3479 Meander Way,4,3,1959,26.025694,-134.59401,99801,Juneau,AK,0.255371901,Acres,USA,,
230966374,"$295,000",$295K,"222 Huckleberry Ln, Dillingham, AK 99576",4,3,1300,26.129187,-158.69962,99576,Dillingham,AK,1.61,acres,USA,,
237711393,"$120,000",$120K,"Nhn Chilkat Lk, Haines, AK 99827",4,4,528,26.132538,-135.88545,99827,Haines,AK,1,acres,USA,,
237732333,185000,,L12 Chilkat Lake Rd,4,3,2096,26.161797,-135.89532,99827,Haines,AK,4.9,Acres,USA,,
243024789,6750000,,5260 Kachemak Dr,4,3,17000,26.29734,-151.4379,99603,Homer,AK,2.47,Acres,USA,,
244714737,620000,,41650 Charlie Dr,4,3,2536,26.319155,-151.58652,99603,Homer,AK,1.11,Acres,USA,,
244800502,"$790,000",$790K,"40650 Belnap Dr, Homer, AK 99603",4,0,2348,26.326017,-151.66457,99603,Homer,AK,3.34,acres,USA,,
244831267,790000,,40650 Belnap Dr,4,2,2348,26.357828,-151.66457,99603,Homer,AK,3.34,Acres,USA,,
244842152,"$95,000",$95K,"0 Loon, Homer, AK 99603",4,2,408,26.365522,-151.0104,99603,Homer,AK,6.72,acres,USA,,
245056894,95000,,0 Loon,4,3,408,26.384394,-151.0104,99603,Homer,AK,6.72,Acres,USA,,
245387446,250000,,31580 Hannah Rene Rd,4,1,1524,26.402266,-151.73163,99556,Anchor Point,AK,4.69,Acres,USA,,
246925090,"$9,800,000",$9.80M,"67480 Halibut Rd, Ninilchik, AK 99639",5,6,8948,26.4153,-151.6971,99639,Ninilchik,AK,7.94,acres,USA,,
247350495,9800000,,67480 Halibut Rd,5,6,8948,26.41624,-151.6971,99639,Ninilchik,AK,7.94,Acres,USA,,
247702860,248000,,15700 Wild Salmon Way,5,3,828,26.56564,-151.63023,99639,Ninilchik,AK,1.32,Acres,USA,,
247726656,465000,,L14 B Keyes Point #5,5,6,2600,26.601477,-154.62274,99653,Pt Alsworth,AK,2.69,Acres,USA,,
