Zpid,Price,PriceLabel,Address,Bedrooms,Bathrooms,LivingArea,Latitude,Longitude,Zipcode,City,State,LotArea,LotAreaUnit,Country
109496581,120000,$120K,"1153 County Road 1605, Cullman, AL 35058",3.0,2,1680.0,34.191063,-86.76373,35058,Cullman,AL,143748.0,acres,USA
90299,260000,$260K,"7950 Joy Rd, Blountsville, AL 35031",4.0,3,2292.0,34.061863,-86.59546,35031,Blountsville,AL,919116.0,acres,USA
166673,160000,$160K,"500 30th St N, Pell City, AL 35125",3.0,1,1333.0,33.593388,-86.27587,35125,Pell City,AL,11325.6,acres,USA
171603,820000,$820K,"200 River Oaks Cir, Cropwell, AL 35054",3.0,3,2921.0,33.506516,-86.2941,35054,Cropwell,AL,76230.0,acres,USA
188134,340000,$340K,"4646 Lake Valley Dr, Birmingham, AL 35244",2.0,3,1734.0,33.366653,-86.76873,35244,Birmingham,AL,2613.6,sqft,USA
199365,335000,$335K,"1148 Dearing Downs Dr, Helena, AL 35080",4.0,3,2358.0,33.28496,-86.82736,35080,Helena,AL,14810.4,acres,USA
201155,322000,$322K,"124 Little Fawn Ln, Alabaster, AL 35007",3.0,3,2068.0,33.253567,-86.8307,35007,Alabaster,AL,20037.6,acres,USA
878894,85000,$85K,"7971 S Valley Rd, Pinson, AL 35126",3.0,1,1008.0,33.73639,-86.64462,35126,Pinson,AL,78408.0,acres,USA
902510,257500,$258K,"2016 9th Pl NW, Birmingham, AL 35215",4.0,3,2250.0,33.64048,-86.71178,35215,Birmingham,AL,18730.8,acres,USA
903492,183400,$183K,"2316 Omaha Dr, Birmingham, AL 35217",3.0,2,1508.0,33.630497,-86.74722,35217,Birmingham,AL,21780.0,acres,USA
911818,212200,$212K,"5457 New Found Rd, Mount Olive, AL 35117",3.0,2,1218.0,33.666996,-86.8699,35117,Mount Olive,AL,34412.4,acres,USA
964392,960000,$960K,"924 Conroy Rd, Birmingham, AL 35222",5.0,5,4276.0,33.514942,-86.76391,35222,Birmingham,AL,7840.8,sqft,USA
964406,517500,$518K,"933 42nd St S, Birmingham, AL 35222",3.0,3,1620.0,33.51433,-86.76886,35222,Birmingham,AL,6098.4,sqft,USA
975162,950000,$950K,"3557 Rockhill Rd, Birmingham, AL 35223",5.0,4,4313.0,33.496693,-86.722404,35223,Birmingham,AL,21344.4,acres,USA
977370,195000,$195K,"2335 10th Ave S, Birmingham, AL 35205",5.0,5,4366.0,33.504917,-86.79188,35205,Birmingham,AL,8276.4,sqft,USA
1003140,435000,$435K,"1637 Barry Ave, Homewood, AL 35209",3.0,2,1607.0,33.484478,-86.79774,35209,Homewood,AL,12632.4,acres,USA
1057486,440000,$440K,"1731 Hummingbird Ln, Hoover, AL 35226",4.0,4,4080.0,33.396324,-86.82174,35226,Hoover,AL,51400.8,acres,USA
1060382,390000,$390K,"4544 Highland Crest Cir, Birmingham, AL 35226",3.0,3,2210.0,33.37363,-86.84483,35226,Birmingham,AL,6969.6,sqft,USA
1062491,490000,$490K,"161 Maple Trce, Hoover, AL 35244",4.0,4,2477.0,33.343575,-86.845085,35244,Hoover,AL,10454.4,sqft,USA
35751315,325000,$325K,"92 Arcadia Dr, Tuscaloosa, AL 35404",4.0,2,2506.0,33.2019,-87.49222,35404,Tuscaloosa,AL,16940.0,acres,USA
35752099,255000,$255K,"3801 12th Pl E, Tuscaloosa, AL 35404",3.0,2,2043.0,33.20103,-87.48755,35404,Tuscaloosa,AL,15246.0,acres,USA
50960120,145000,$145K,"429 1st Ave, Saraland, AL 36571",3.0,2,42131.232,30.806244,-88.08268,36571,Saraland,AL,52664.04,acres,USA
50998608,235000,$235K,"661 Ynestra Dr, Mobile, AL 36609",4.0,2,1809.0,30.653385,-88.1572,36609,Mobile,AL,10454.4,sqft,USA
51047851,379000,$379K,"8240 Taddish Dr N, Mobile, AL 36695",4.0,3,2409.0,30.646683,-88.23489,36695,Mobile,AL,17637.44,acres,USA
60568608,265000,$265K,"744 Princeton Pkwy, Mount Olive, AL 35117",3.0,2,1684.0,33.649254,-86.86637,35117,Mount Olive,AL,9548.0,sqft,USA
62807988,145000,$145K,"263 Hustleville Rd, Albertville, AL 35951",4.0,3,1900.0,34.302174,-86.14917,35951,Albertville,AL,39204.0,acres,USA
62808089,205000,$205K,"55 Blessing Rd, Boaz, AL 35957",3.0,3,1840.0,34.25254,-86.156685,35957,Boaz,AL,108900.0,acres,USA
66700646,219900,$220K,"384 Gardner Rd, Prattville, AL 36067",3.0,2,1489.0,32.489414,-86.47409,36067,Prattville,AL,11325.6,acres,USA
67110116,210000,$210K,"128 Sandusky Way, Florence, AL 35630",3.0,2,2015.0,34.845333,-87.6486,35630,Florence,AL,20473.2,acres,USA
